"Email Address","E-postë"
"Forgot Your Password?","fordot"
"Register","Regjistrohu"
"Odberi paket i kreiraj ja svojata biznis strana","Zgjidh paket dhe formo biznes faqen tuaj"
"Avtomobili","Automobilë"
"Dom i gradina","Shtëpi dhe kopsht"
"Nedviznini","Të palëvizshme"
"Zdravje i ubavina","Shëndet dhe bukuri"
"Pravo i finansii","E drejta dhe financa"
"Hrana","Ushqim"
"Obrazovanie","Arsim"
"Zabava i umetnost","Argëtim dhe art"
"Profesionalni uslugi","Shërbime profesionale"
"Rekreacija","Rekreacion"
"Maloprodazba","Shitje në të vogël"
"Patuvajna i smestuvajne","Udhëtim dhe vendosje"
"Promovirani biznisi","Biznesë të promovuar"
"Search","Kërkoni"
"All Departments","Maqedonia"
"denari","denarë"
"Pretplatete se vednash","Parapaguani menjëherë"
"Information","Informacione"
"Working hours","Kohë pune"
"monday","e hënë:"
"tuesday","e martë:"
"wednesday","e mërkurë:"
"thursday","e enjte:"
"friday","e premte:"
"saturday","e shtunë:"
"sunday","e diel:"
"About us","Për ne"
"Map","Mapë"
"Design your business page","Rregulloheni faqen tuaj"
"Basic details","Informacione themelore"
"email","E-postë"
"address","Adresë"
"city","Qytet"
"Links","Linke"
"Web Page","Web faqe"
"Address","Adresë"
"Email","E-postë"
"Telephone 1","Telefon 1"
"Telephone 2","Telefon 2"
"Design your business page"," Rregulloheni faqen tuaj"
"Basic details","Informacione themelore"
"Name","Emër"
"Category","Kategori"
"City","Qytet"
"Macedonia","Maqedonia"
"Facebook","Fejsbuk"
"Twitter","Tviter"
"Instagram","Instagram"
"Monday","E hënë"
"Tuesday","E martë"
"Wednesday","E mërkurë"
"Thursday","E enjte"
"Friday","E premte"
"Saturday","E shtunë"
"Sunday","E diel"
"Photogallery","Fotogaleri"
"Actions, sale, promotions","Akcione, lirime, promovime"
"This is a required field.","Kjo fushë është e domosdoshme"
"Please use letters only (a-z or A-Z) in this field.","Ju lutemi shfrytëzoni vetëm shkronja në këtë fushë (a-zh ose A-ZH) "
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Ju
lutemi futni numër valid të telefonit në formatin vijues: (123) 456-7890 ose 123-456-7890."
"Please enter a valid email address. For example johndoe@domain.com.","Ju lutemi futni email adresë
valide në formatin vijues: johndoe@domain.com."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Ju lutemi futni web valid për shembull:
http://google.com", johndoe@domain.com."
"Please enter a valid number in this field.","Ju lutemi shfrytëzoni vetëm numra në këtë fushë"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Ju lutemi shfrytëzoni vetëm
shkronja(a-zh ose A-ZH) , numra(0-9) dhe vende të shprazta në këtë fushë "
"Please enter a valid working hours in the following format: 08:00","Ju lutemi ruajeni formatin: shembull "
"Share this page","Shpërndaheni faqen"
"Action, sales, promotions","Akcione, lirime, promovime"
"Personal Information","Informacione personale"
"First Name","Emër"
"Last Name","Mbiemër"
"Password","Shifra"
"Confirm Password","Përsëriteni shifrën"
"Cancel","Anulo"
"Submit","Ruaji ndryshimet"
"Update","Ndrysho"
"My Account","Llogarija ime"
"My Page","Faqja ime"
"Log Out","Çkyçu"
"You have already created a business page","Biznes faqja tuaj është e formuar"
"Edit my page","Rregullohe faqen time"
"More informations","Më shumë informacione"
"Open","Hapur"
"Closed","Mbyllur"
"day off","ditë jopune"
"day in","ditë pune"
"Macedonian","Maqedonisht"
"Albanian","Shqip"
"Monday From","E hënë:"
"Tuesday From","E martë:"
"Wednesday From","E mërkurë:"
"Thursday From","E enjte:"
"Friday From","E premte:"
"Saturday From","E shtunë:"
"Sunday From","E diel:"
"Category","Kategori"
"Sort By","Rradhiti sipas"
"%s businesses founded","Gjehu %s biznes(ë) "
"Cover Image","Kaver fotografi"
"List","Listë"
"* Street format: [Street] [Street Number], [City]","* Format për rrugë: [Rruga] [Numër], [Qytet] shembull: Ruzvelltova 14, Kumanovë"
"Delete markers","Fshi markerat"
"Similar related businesses","Biznes të promovuar të ngjajshëm"
"Mark map","Shëno në mapëp"
"Edit Account Information","Ndryshoi informacionet rrjedhëse"
"Current Password","Shifra rrjedhëse"
"Change Password","Ndryshoe shifrën"
"New Password","Shifrë e re"
"Confirm New Password","Vërtetoheni shifrën të re"
"Back","Prapa"
"Save","Ruaje"
"Account Information","Të dhëna personale"
"Payment Cards","Kartela pagimore"
"Transactions","Transakcione të bëra"
"Firstname and Lastname","Emër dhe mbiemër"
"Edit personal informations","Ndryshoi të dhënat personale"
"Remove the payment card","Fshie kartelën"
"Update the payment card","Ndryshoe kartelën"
"Add new payment card","Shto tjetër kartelë pagimore"
"Date","Datë"
"Total","Shumë (denarë) "
"You have placed no orders yet.","Nuk keni asnjë transakcion. "
"Create","Formo"
"If you are still not regiestered, please create new account ","Nëse nuk keni logarin tuaj, Ju lutemi njëherë registrohuni"
"here","këtu"
"Company","Kompanija"
"Company Register ID","Numri tatimor"
"Street Address","Adresa"
"Zip/Postal Code","Numri i postës"
"Country","Shteti"
"Marketing","Promovoe faqen time"
"Login","Hyrje"
"denars","denarë"
"for","per"
