"Аuthorized person","Овластено лице"
"Chief Executive","Управител"
"Thank you for your trust.","Ви благодариме на довербата."
"Complaints are received within 5 days.","Рекламации се примаат во рок од 5 дена."
"In the event of a dispute, the Basic Court Bitola is competent.","Во случај на спор, надлежен е Основен суд Битола."
"Sold to:","Клиент"
"Payment Method","Начин на плаќање"
"Invoice # ","Фактура # "
"Order # ","Број на нарачка # "
"Order Date: ","Датум на нарачка: "
"Products","Продукт"
"Price","Цена"
"Qty","Количина"
"Tax","Данок"
"Subtotal","Вкупно"
"Grand Total","Вкупно со данок"
"Item","Производ"
"Sku","Код на производот"
